Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,2367.0,2556.0,2953.0,3300.0,3698.0,,,,,,,,,,,,,,,,,,,,,,,4367.0,4553.0,5146.0,6167.0,6925.0,8556.0,10297.0,12066.0,15325.0,17890.0,20293.0,20170.0,20616.0,20057.0,18020.0,18883.0,18336.0,18876.0,20136.0,14278.0,14501.0,17248.0,,
Albania,2610.0,2686.0,2761.0,2842.0,2372.0,1969.0,2256.0,2323.0,2347.0,2317.0,2366.0,2617.0,2597.0,2560.0,2812.0,2247.0,1349.0,853.0,1478.0,2389.0,2916.0,3238.0,2251.0,2585.0,3264.0,3529.0,3974.0,4408.0,5628.0,7263.0,8148.0,9002.0,10804.0,13035.0,12187.0,12079.0,13052.0,12470.0,12936.0,13404.0,11525.0,12003.0,13209.0,15337.0,15582.0,15271.0,18086.0,19185.0,23388.0,27259.0,28372.0
Algeria,15591.0,17790.0,21038.0,26433.0,33276.0,45957.0,48156.0,48599.0,51582.0,55906.0,66346.0,66783.0,68698.0,56070.0,57041.0,67171.0,50650.0,53414.0,55309.0,46044.0,45654.0,50945.0,52287.0,52297.0,53011.0,59418.0,59413.0,61516.0,73482.0,91914.0,107047.0,123084.0,142483.0,180384.0,150317.0,177785.0,218332.0,227144.0,229701.0,238943.0,187494.0,180764.0,190004.0,194507.0,193361.0,164774.0,185850.0,225709.0,247789.0,264913.0,268885.0
Andorra,279.0,288.0,321.0,390.0,521.0,,,,,,,,,,,,,,,,,,,,,1429.0,1547.0,1758.0,2362.0,2896.0,3158.0,3456.0,3952.0,4082.0,3675.0,3446.0,3625.0,3189.0,3193.0,3267.0,2789.0,2895.0,2993.0,3217.0,3155.0,2885.0,3325.0,3376.0,3786.0,4038.0,4035.0
Angola,4147.0,3981.0,4344.0,4845.0,5380.0,8730.0,8170.0,8170.0,8514.0,9025.0,11119.0,10411.0,11900.0,12909.0,15017.0,16529.0,16022.0,12354.0,8966.0,6529.0,8148.0,10510.0,12344.0,10464.0,9895.0,12646.0,12378.0,17312.0,20342.0,26998.0,41397.0,58654.0,73038.0,98790.0,81705.0,95547.0,125552.0,143573.0,153761.0,164448.0,131661.0,114764.0,139835.0,114189.0,94671.0,66521.0,84375.0,142442.0,109764.0,115946.0,113343.0
Antigua and Barbuda,85.0,71.0,81.0,92.0,113.0,132.0,149.0,166.0,185.0,212.0,246.0,298.0,347.0,411.0,455.0,479.0,504.0,525.0,566.0,625.0,616.0,679.0,734.0,790.0,836.0,901.0,878.0,898.0,948.0,1026.0,1144.0,1304.0,1487.0,1558.0,1387.0,1298.0,1287.0,1365.0,1325.0,1379.0,1437.0,1490.0,1535.0,1662.0,1726.0,1412.0,1602.0,1867.0,2006.0,2225.0,2373.0
Argentina,51741.0,54575.0,61662.0,63865.0,73987.0,233696.0,189802.0,94250.0,116267.0,130544.0,98599.0,118565.0,121561.0,142386.0,91352.0,158024.0,211979.0,255787.0,264429.0,287835.0,288497.0,304282.0,327436.0,334244.0,316998.0,317759.0,300421.0,112458.0,142431.0,164911.0,199273.0,232892.0,287921.0,363545.0,334633.0,424729.0,527644.0,579666.0,611471.0,563614.0,642464.0,556774.0,643861.0,524431.0,446762.0,385218.0,486040.0,632318.0,645511.0,632145.0,683533.0
Armenia,,,,,,,,,,,,,,,,,,108.0,835.0,648.0,1287.0,1597.0,1639.0,1892.0,1845.0,1912.0,2118.0,2376.0,2807.0,3577.0,4900.0,6384.0,9206.0,11662.0,8648.0,9260.0,10142.0,10619.0,11121.0,11610.0,10553.0,10546.0,11527.0,12458.0,13619.0,12642.0,13879.0,19514.0,24086.0,25533.0,26258.0
Aruba,229.0,241.0,254.0,268.0,282.0,,,,,,,,,,,,,,,,1321.0,1380.0,1532.0,1665.0,1723.0,1873.0,1896.0,1962.0,2044.0,2255.0,2360.0,2470.0,2678.0,2843.0,2554.0,2454.0,2638.0,2615.0,2728.0,2791.0,2963.0,2984.0,3092.0,3276.0,3341.0,2486.0,2929.0,3279.0,3649.0,3952.0,4100.0
Australia,108853.0,117298.0,116222.0,135608.0,150133.0,162924.0,188410.0,187049.0,179478.0,197136.0,174385.0,181477.0,213100.0,271088.0,308402.0,324128.0,324436.0,318005.0,309303.0,353372.0,379227.0,424663.0,426401.0,381498.0,411968.0,400278.0,378114.0,425516.0,541155.0,658742.0,736505.0,783447.0,950093.0,1056559.0,1000828.0,1254623.0,1515507.0,1570139.0,1519900.0,1456939.0,1233921.0,1262655.0,1381110.0,1417162.0,1386277.0,1362613.0,1655843.0,1725461.0,1742461.0,1796805.0,1771681.0
